path,orig_folder,proposed_class,final_class,confidence,reason,sr,channels,duration_s,subtype,error
hydrophone_scubaDiving\184597__qubodup__scuba-diver-worker.flac,hydrophone_scubaDiving,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,58.94,PCM_16,
hydrophone_scubaDiving\194229__zagi2__propeller-sfx.wav,hydrophone_scubaDiving,vessel,vessel,medium,folder says other_anthropogenic but filename keyword 'propeller',44100,2,19.99,FLOAT,
hydrophone_scubaDiving\262754__klankbeeld__water-sand-moving-003-140811_0365.wav,hydrophone_scubaDiving,other_anthropogenic,other_anthropogenic,high,folder label,96000,2,20.78,PCM_24,
hydrophone_scubaDiving\31007__ctruiz__breathing.wav,hydrophone_scubaDiving,other_anthropogenic,other_anthropogenic,high,folder label,44100,1,15.8,PCM_16,
hydrophone_scubaDiving\482774__craigsmith__r23-20-scuba-diver.wav,hydrophone_scubaDiving,other_anthropogenic,other_anthropogenic,high,folder label,48000,1,14.18,PCM_24,
hydrophone_scubaDiving\490661__davi-sh__underwater-scuba-diver.wav,hydrophone_scubaDiving,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,45.76,PCM_16,
hydrophone_scubaDiving\734301__klankbeeld__240426-scuba-diving-breathing-apparatus-bubbles-02.wav,hydrophone_scubaDiving,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,14.36,PCM_24,
hydrophone_scubaDiving\752121__klankbeeld__electric-boot-passing-underwater-429-pm-220726.wav,hydrophone_scubaDiving,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,190.07,PCM_24,
sonar_ping\101753__mgfranz__sonar_ping_repeat_3.mp3,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,6.75,MPEG_LAYER_III,
sonar_ping\105349__sandyrb__sonar-ping-pong-g.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,1,3.67,PCM_24,
sonar_ping\12677__peter_gross__sonar_pings.ogg,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,11025,1,3.67,VORBIS,
sonar_ping\185589__squeeb__submarine.mp3,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,46.52,MPEG_LAYER_III,
sonar_ping\20223__lg__subping02.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,5.5,PCM_16,
sonar_ping\258281__norman_hittle__sonar_submarine_radar_deepsea_hydrogen_skyline_com.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,30.48,PCM_24,
sonar_ping\268835__kwahmah_02__sonar-tuned-to-f.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,176400,1,36.61,PCM_16,
sonar_ping\31038__lg__subping03.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,19.69,PCM_24,
sonar_ping\337050__shinephoenixstormcrow__215415__unfa__ping_modified.mp3,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,2.5,MPEG_LAYER_III,
sonar_ping\383405__sirplus__sonar-pings-assorted.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,103.14,PCM_16,
sonar_ping\38704__elanhickler__archi_sonar_05.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,4.0,PCM_16,
sonar_ping\414831__link-boy__submarine-sonar.mp3,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,5.79,MPEG_LAYER_III,
sonar_ping\42796__digifishmusic__sonar-ping.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,4.21,PCM_16,
sonar_ping\44009__erh__w45-b2-3-submarine.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,18.44,PCM_16,
sonar_ping\493162__breviceps__submarine-sonar.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,9.44,PCM_16,
sonar_ping\539957__samsterbirdies__sonar-ping.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,1,3.5,PCM_16,
sonar_ping\544311__martian__submarine-sonar.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,1,7.84,PCM_24,
sonar_ping\568193__badoink__subnautical.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,99.75,PCM_16,
sonar_ping\587813__steamb233__sonar-ping.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,3.0,DOUBLE,
sonar_ping\612006__univ_lyon3__maze_martin_2021_2022_sonar.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,4.93,PCM_16,
sonar_ping\620321__marb7e__sonar-ping-sine-wave.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,3.29,PCM_24,
sonar_ping\716715__newlocknew__boatsub_sonar-pingssubmarinesynth.mp3,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,39.06,MPEG_LAYER_III,
sonar_ping\79603__plivesey__sub-ping-half-speed.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,11.0,PCM_16,
sonar_ping\808185__nicorico_120__sonar-ping.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,3.43,PCM_16,
sonar_ping\819723__akkaittou__deep_sonar.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,4.0,PCM_24,
sonar_ping\90340__digit-al__sonar.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,7.39,PCM_16,
sonar_ping\94832__lg__passive-sonar.wav,sonar_ping,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,31.82,PCM_16,
depth_charge\212140__lachim__airgun-mix-1_3.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,2.09,PCM_16,
depth_charge\260696__liquidhot__depthcharge-alert-incoming-message-received.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,2.95,PCM_16,
depth_charge\324924__renovatio871__depth-charges-kaboom-sfx.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,12.0,PCM_24,
depth_charge\398210__cognito-perceptu__old-style-depth-charge.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,16.05,PCM_16,
depth_charge\438531__craigsmith__g33-25-bazooka.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,48000,1,32.73,PCM_24,
depth_charge\438713__craigsmith__g45-11-submarine-depth-charge.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,48000,1,60.86,PCM_24,
depth_charge\578522__jim-bretherick__hunter-killer1.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,126.29,FLOAT,
depth_charge\593014__2100385_joshua_blignaut__depth-charge-exploding-underwater.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,5.77,PCM_24,
depth_charge\674886__craigsmith__s17-10-depth-charge-with-water-sounds.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,48000,1,37.95,PCM_24,
depth_charge\98369__liquidhot__depth-charge-low-battery-alarm.wav,depth_charge,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,1.75,PCM_16,
pile_driver\222037__sailor55__marinepiledriver_sel.wav,pile_driver,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,53.49,PCM_16,
pile_driver\34995__cognito-perceptu__piledriver-2.wav,pile_driver,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,11.07,PCM_16,
pile_driver\406187__kyles__construction-site-pile-driver-rubble-nearby-arabic-voices2-closer-gaza-2016.wav,pile_driver,other_anthropogenic,other_anthropogenic,high,folder label,48000,2,90.06,PCM_24,
pile_driver\40879__klankschap__20070913-pile-driver-rotterdam-h2.mp3,pile_driver,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,667.92,MPEG_LAYER_III,
pile_driver\412401__alphabetdust__6am-pile-driver.wav,pile_driver,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,16.8,PCM_16,
pile_driver\438713__craigsmith__g45-11-submarine-depth-charge.wav,pile_driver,other_anthropogenic,other_anthropogenic,high,folder label,48000,1,60.86,PCM_24,
pile_driver\541674__garuda1982__pile-driver-rammer-sound-effect-field-recording.wav,pile_driver,other_anthropogenic,other_anthropogenic,high,folder label,192000,1,29.67,PCM_24,
pile_driver\564724__garuda1982__small-pile-driver-sound-effect.wav,pile_driver,other_anthropogenic,other_anthropogenic,high,folder label,192000,1,34.29,PCM_24,
pile_driver\57784__uair01__pile_drivers_polyrythmic.mp3,pile_driver,other_anthropogenic,other_anthropogenic,high,folder label,44100,2,161.86,MPEG_LAYER_III,
